"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3359911";"";"None";"244.30";"0";"1.79";"3e";"NC(=O)c1cnn2cccc2c1NC1CCCC1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"27.93";"0.52";"5.03";"9.42";"0";"CHEMBL3377595";"Inhibition of TYK2 (unknown origin) by caliper assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"150.0"
"CHEMBL3359915";"";"None";"302.38";"0";"1.78";"4d";"CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@@]1(C)O";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"26.97";"0.51";"6.37";"8.80";"0";"CHEMBL3377595";"Inhibition of TYK2 (unknown origin) by caliper assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"7.0"
"CHEMBL4640314";"";"None";"401.45";"0";"1.14";"8";"O=C(C1CC1)N1C2CCC1CN(c1nc(Nc3cnn(CCO)c3)ncc1F)C2";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"18.08";"0.34";"6.12";"7.30";"0";"CHEMBL4620435";"Inhibition of human recombinant TYK2 assessed as level of phosphorylation in presence of peptide substrate 5FAM-KKSRGDYMTMQID and ATP by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619733";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"None";"";"";"";"55.0"
"CHEMBL4649054";"";"None";"314.39";"0";"2.11";"25";"Cc1[nH]nc2[nH]c(=O)cc([C@H]3CC[C@H](C(=O)NC4CC4)CC3)c12";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"15.44";"0.29";"2.74";"5.36";"0";"CHEMBL4612624";"Inhibition of N-terminal GST-tagged human TYK2 catalytic domain (871 to 1187 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4610114";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"14.0"
"CHEMBL4639973";"";"None";"350.37";"0";"2.36";"27";"Cc1[nH]nc2[nH]c(=O)cc([C@H]3CC[C@H](NC(=O)[C@@H]4CC4(F)F)CC3)c12";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"19.00";"0.36";"4.30";"7.35";"0";"CHEMBL4612624";"Inhibition of N-terminal GST-tagged human TYK2 catalytic domain (871 to 1187 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4610114";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"0.22"
"CHEMBL4639048";"";"None";"378.50";"0";"2.31";"31";"Cc1[nH]nc2[nH]c(=O)cc([C@H]3CC[C@H](NS(=O)(=O)CC4CCC4)CC3)c12";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4612624";"Inhibition of N-terminal GST-tagged human TYK2 catalytic domain (871 to 1187 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4610114";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";""
"CHEMBL4634289";"";"None";"282.35";"0";"2.60";"41";"Cc1[nH]nc2[nH]c(=O)cc([C@@H]3C[C@@H]4C[C@H]3C[C@@H]4CC#N)c12";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"23.58";"0.43";"4.06";"7.80";"0";"CHEMBL4612624";"Inhibition of N-terminal GST-tagged human TYK2 catalytic domain (871 to 1187 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4610114";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"0.22"
"CHEMBL4638953";"";"None";"350.37";"0";"2.36";"28";"Cc1[nH]nc2[nH]c(=O)cc([C@H]3CC[C@H](NC(=O)[C@H]4CC4(F)F)CC3)c12";"IC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"15.89";"0.30";"3.21";"6.14";"0";"CHEMBL4612624";"Inhibition of N-terminal GST-tagged human TYK2 catalytic domain (871 to 1187 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4610114";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"2.7"
"CHEMBL3694593";"";"None";"352.83";"0";"3.56";"BDBM125914";"Nc1ccc2cc1CCc1cncc(c1)Nc1ncc(Cl)c(n1)NC2";"IC50";"'='";"386.0";"nM";"6.41";"";"255725";"UO_0000065";"18.18";"0.35";"2.85";"7.23";"0";"CHEMBL3705229";"TYK2 Assay: TYK2 assays described by James E. Thompson et. al, Photochemical preparation of a pyridone containing tetracycle: A JAK protein kinase inhibitor, Bioorganic & Medicinal Chemistry Letters, Volume 12, Issue 8, 22 Apr. 2002, Pages 1219-1223].";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639093";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"386.0"
"CHEMBL3991935";"";"None";"438.31";"0";"3.30";"P-276-00";"CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H]1CO.Cl";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL283120";"AXL-1717";"2.0";"414.41";"0";"2.41";"AXL-1717";"COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL551064";"AEW-541";"1.0";"425.54";"0";"4.67";"AEW-541";"Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL3109738";"JNJ-26483327";"1.0";"457.37";"1";"5.14";"JNJ-26483327";"COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL608533";"MIDOSTAURIN";"4.0";"570.65";"2";"5.91";"Midostaurin";"CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL1873475";"IBRUTINIB";"4.0";"440.51";"0";"4.22";"Ibrutinib";"C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1";"Kd";"'>'";"30000.0";"nM";"";"";"Inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3991920";"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"K-562, COLO 205, SK-N-BE(2) and MV-4-11";"Cell lysate";"Direct Binder: no";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991601";"48";"Kuster Lab Chemical Proteomics Drug Profiling";"Science";"2017";"None";"";"";"";"30000.0"
"CHEMBL4530719";"";"None";"401.42";"0";"2.61";"29";"CS(=O)(=O)c1ccccc1Nc1cc(Nc2ccc(F)cn2)ncc1C(N)=O";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"18.38";"0.36";"4.77";"5.81";"0";"CHEMBL4414786";"Inhibition of TYK2 JH1 domain (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414548";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"0.042"
"CHEMBL4544320";"";"None";"397.46";"0";"2.73";"38";"CNC(=O)c1cnc(Nc2ccccn2)cc1Nc1ccccc1S(C)(=O)=O";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"16.61";"0.32";"3.87";"5.84";"0";"CHEMBL4414793";"Inhibition of TYK2 JH2 domain in human whole blood assessed as inhibition of IFNalpha-induced STAT5 phosphorylation preincubated for 1 hr followed by IFNalpha stimulation and measured after 15 mins by fluorescence assay";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414548";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"0.25"
"CHEMBL4436287";"";"None";"393.45";"0";"1.53";"10";"CCNC(=O)c1ccc(Nc2nccc(N3CCN(C(=O)CC#N)CC3)n2)cc1";"IC50";"'='";"368.0";"nM";"6.43";"";"";"UO_0000065";"16.35";"0.30";"4.90";"5.63";"0";"CHEMBL4411530";"Inhibition of human TYK2 using fluorescence labeled peptide as substrate and using ATP at its Km level by microfluidic based mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411260";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"368.0"
"CHEMBL4295039";"";"None";"398.47";"0";"2.27";"27";"CNc1cc(Nc2ccccc2OC)nn2c(C(=O)NCC(C)(C)CO)cnc12";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"20.83";"0.39";"6.03";"7.36";"0";"CHEMBL4251840";"Displacement of [3H]-(R)-N-(1-(3-(8-methyl-5-(methylamino)-8H-imidazo[4,5-d]thiazolo[5,4-b]pyridin-2-yl)phenyl)ethyl)-2-(methylsulfonyl)benzamide from N-terminal His-tagged TYK2 JH2 domain (unknown origin) after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"Medchemcomm";"2017";"None";"";"";"";"0.005"
"CHEMBL4285530";"";"None";"364.45";"0";"3.54";"21";"Cc1cc(C)cc(Nc2cc(NC3CCCC3)c3ncc(C(N)=O)n3n2)c1";"IC50";"'='";"7300.0";"nM";"5.14";"";"";"UO_0000065";"14.09";"0.26";"1.60";"5.28";"0";"CHEMBL4251841";"Inhibition of TYK2 JH2 domain in IL23-stimulated human Kit225 T cells by luciferase reporter assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"Medchemcomm";"2017";"None";"";"";"";"7.3"
"CHEMBL4286006";"";"None";"372.43";"0";"3.93";"22";"Cc1cc(C)cc(Nc2cc(Nc3ccccc3)c3ncc(C(N)=O)n3n2)c1";"IC50";"'='";"4900.0";"nM";"5.31";"";"";"UO_0000065";"14.26";"0.26";"1.38";"5.45";"0";"CHEMBL4251841";"Inhibition of TYK2 JH2 domain in IL23-stimulated human Kit225 T cells by luciferase reporter assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"Medchemcomm";"2017";"None";"";"";"";"4.9"
"CHEMBL4525866";"";"None";"363.38";"0";"1.82";"19";"CNC(=O)c1cnc(Nc2ncccn2)cc1Nc1ccccc1C(N)=O";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"19.87";"0.37";"5.40";"5.35";"0";"CHEMBL4414785";"Inhibition of fluorescein-labeled kinase tracer binding to His-TVMV-fused TYK2 JH2 domain (575 to 869 residues) (unknown origin) measured after 90 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414548";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"0.06"
"CHEMBL4471908";"";"None";"395.44";"0";"1.72";"des-methoxy 11";"[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4377381";"Inhibition of TYK2 in human whole blood assessed as decrease in IFNalpha-induced STAT5 phosphorylation preincubated for 1 hr followed by stimulation with IFN-alpha for 15 mins by fluorescence analysis";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376812";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"10.0"
"CHEMBL2376144";"";"None";"462.90";"0";"2.27";"6a";"C[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1";"Kd";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"13.95";"0.27";"4.19";"4.87";"0";"CHEMBL2378154";"Binding affinity to TYK2 (unknown origin) by ligand displacement assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2375236";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"350.0"
"CHEMBL4645110";"";"None";"431.50";"0";"3.21";"27";"N#C[C@]1(C2CC2)C(=O)N2C[C@H]1COC/C=C/COCc1cccc(n1)Nc1cc2ccn1";"IC50";"'='";"440.0";"nM";"6.36";"";"";"UO_0000065";"14.73";"0.27";"3.15";"6.33";"0";"CHEMBL4627624";"Inhibition of TYK2 in human Jurkat cells by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4627255";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"CHEMBL3307526";"";"";"";"440.0"
"CHEMBL2387219";"";"None";"418.24";"0";"2.90";"33";"O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2c2nn[nH]n2)c1)c1c(Cl)cccc1Cl";"EC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2389438";"Inhibition of TYK2 (unknown origin) assessed as inhibition of STAT4 phosphorylation by cell-based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385054";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"5.0"
"CHEMBL2420850";"";"None";"262.70";"0";"3.00";"13";"COc1cccc(C(=O)Nc2ccncc2)c1Cl";"Ki";"'>'";"3500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2421816";"Inhibition of TYK2 (unknown origin) using 5-carboxyfluorescein-VALVDGYFRLTT-NH2 as substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417497";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"3.5"
"CHEMBL1287941";"";"None";"359.29";"0";"2.27";"15";"Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"20.53";"0.39";"5.11";"5.99";"0";"CHEMBL1292868";"Inhibition of human recombinant TYK2 by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1287810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"42.0"
"CHEMBL1288001";"";"None";"358.35";"0";"2.64";"19";"CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"19.97";"0.38";"4.51";"8.03";"0";"CHEMBL1292868";"Inhibition of human recombinant TYK2 by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1287810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"70.0"
"CHEMBL4778980";"";"None";"415.50";"0";"4.24";"17";"C/C=C/C(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1";"IC50";"'>'";"3000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4685312";"Inhibition of recombinant human N-terminal GST-tagged TYK2 cytoplasmic domain (833 to 1187 residues) expressed in baculovirus expression system using TK-substrate-biotin preincubated for 5 mins followed by substrate addition and measured after 30 mins by HTRF assay";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680201";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"TIME = 0.5833 hr";"";"";"3000.0"
"CHEMBL4750671";"";"None";"391.48";"0";"3.16";"19";"C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4685312";"Inhibition of recombinant human N-terminal GST-tagged TYK2 cytoplasmic domain (833 to 1187 residues) expressed in baculovirus expression system using TK-substrate-biotin preincubated for 5 mins followed by substrate addition and measured after 30 mins by HTRF assay";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680201";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"TIME = 0.5833 hr";"";"";""
"CHEMBL4795109";"";"None";"472.55";"0";"3.35";"27";"C/C=C/C(=O)NCC(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4685312";"Inhibition of recombinant human N-terminal GST-tagged TYK2 cytoplasmic domain (833 to 1187 residues) expressed in baculovirus expression system using TK-substrate-biotin preincubated for 5 mins followed by substrate addition and measured after 30 mins by HTRF assay";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680201";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"TIME = 0.5833 hr";"";"";""
"CHEMBL4862231";"";"None";"542.59";"2";"5.74";"11e";"Cc1cnc(Nc2ccc3c(c2)CCN3S(=O)(=O)c2ccc(C(F)(F)F)cc2)nc1-c1cnn(C(C)C)c1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"14.37";"0.28";"2.06";"8.38";"0";"CHEMBL4825784";"Inhibition of recombinant human TYK2 (875 to end residues) using GGMEDIYFEFMGG as substrate incubated for 40 mins in presence of [gamma33P]ATP by scintillation counting based radiometry assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4825658";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.6667 hr";"INHIBITOR";"";"16.0"
"CHEMBL4872684";"";"None";"572.61";"2";"5.72";"13k";"CCOC(C)n1cc(-c2nc(Nc3ccc4c(c3)CCN4S(=O)(=O)c3ccc(C(F)(F)F)cc3)ncc2C)cn1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"12.96";"0.25";"1.70";"7.26";"0";"CHEMBL4825784";"Inhibition of recombinant human TYK2 (875 to end residues) using GGMEDIYFEFMGG as substrate incubated for 40 mins in presence of [gamma33P]ATP by scintillation counting based radiometry assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4825658";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.6667 hr";"INHIBITOR";"";"38.0"
"CHEMBL1969879";"";"None";"303.37";"0";"0.62";"SID103905420";"CC1CCN(C(=O)CO)CC1N(C)c1ncnc2[nH]ccc12";"Ki";"'='";"1995.26";"nM";"5.70";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"5.7"
